r,l,t
-51.731004,576000,3692.746198
-63.653092,578000,3704.302354
-350.391683,580000,3715.814701
-150.10052,582000,3727.475467
-52.556876,584000,3739.087415
-68.036556,586000,3750.741804
-56.422073,588000,3762.281268
-43.555425,590000,3773.808554
-50.055903,592000,3786.489767
-48.867257,594000,3798.208337
-46.676133,596000,3810.081679
-44.611987,598000,3821.769174
-67.620519,600000,3833.336195
-63.1397,602000,3845.021653
-72.228045,604000,3856.579742
-59.241718,606000,3868.207818
-50.997535,608000,3879.825808
-57.215694,610000,3891.568252
-56.518166,612000,3903.211
-48.457756,614000,3914.911604
-36.567688,616000,3926.760869
-164.194325,618000,3939.446215
-43.134648,620000,3951.388551
-46.896239,622000,3963.967554
-194.372387,624000,3975.655957
-50.551207,626000,3987.168054
-56.247977,628000,3998.872867
-85.169604,630000,4010.539259
-83.98327,632000,4022.314607
-52.620709,634000,4033.894739
-91.570615,636000,4045.673427
-68.866632,638000,4057.290638
-156.167852,640000,4068.933148
-68.950882,642000,4080.577358
-72.586754,644000,4092.117326
-74.472005,646000,4103.717
-80.352151,648000,4115.607943
-717.324718,650000,4127.396162
-513.606117,652000,4139.199356
-98.604489,654000,4150.817017
-99.828233,656000,4162.342316
-443.730573,658000,4173.906627
-95.240498,660000,4185.342986
-66.894856,662000,4196.833713
-79.690849,664000,4208.297772
-107.816956,666000,4219.739651
-171.675076,668000,4231.307115
-137.991535,670000,4242.817955
-168.723579,672000,4254.562646
-343.618542,674000,4266.181948
-70.888701,676000,4277.956285
-53.902277,678000,4289.709952
-45.823897,680000,4301.234488
-47.294378,682000,4312.952596
-52.82084,684000,4324.617138
-46.965834,686000,4336.324484
-63.006059,688000,4348.158477
-42.674681,690000,4359.765785
-43.329475,692000,4371.271852
-42.219655,694000,4383.055401
-38.14689,696000,4394.805009
-45.006661,698000,4406.525604
-48.326678,700000,4418.410575
-50.834587,702000,4430.235997
-82.229401,704000,4441.936431
-51.585859,706000,4453.525875
-52.097789,708000,4465.095458
-54.528008,710000,4476.630081
-47.075338,712000,4488.133232
-44.306709,714000,4499.687756
-46.034595,716000,4511.225305
-49.272953,718000,4522.751731
-59.848291,720000,4534.421645
-77.686159,722000,4546.189364
-71.851498,724000,4558.050208
-70.263056,726000,4569.743102
-63.304551,728000,4581.49592
-75.433388,730000,4593.125099
-93.707645,732000,4606.285283
-61.900933,734000,4618.708164
-60.168988,736000,4631.349901
-67.193462,738000,4644.935731
-111.994957,740000,4657.375075
-36.72301,742000,4669.450489
-32.275961,744000,4682.133632
-31.477978,746000,4696.225264
-42.925565,748000,4709.730281
-62.31313,750000,4721.647315
-51.690662,752000,4733.161051
-55.389085,754000,4744.787445
-70.104686,756000,4756.386408
-220.987536,758000,4767.870038
-51.496111,760000,4779.26824
-53.641709,762000,4790.624103
-56.344487,764000,4803.423479
-297.22775,766000,4815.092722
-334.469615,768000,4828.255517
-799.365692,770000,4841.767921
-747.089664,772000,4855.719181
-756.580094,774000,4869.256902
-668.25891,776000,4883.616072
-296.506821,778000,4896.632743
-424.119226,780000,4909.867461
-728.467487,782000,4926.657339
-806.0226,784000,4941.207073
-755.090048,786000,4954.731881
-672.96898,788000,4968.442577
-382.482595,790000,4982.034392
-578.185727,792000,4995.029923
-600.91605,794000,5008.796913
-286.751294,796000,5021.558506
-382.058019,798000,5034.338241
-506.008503,800000,5046.590468
-129.619074,802000,5058.926584
-142.281992,804000,5070.788901
-103.450999,806000,5082.480942
-368.475698,808000,5096.924611
-276.293087,810000,5111.756089
-125.199439,812000,5125.347786
-108.18776,814000,5139.324039
-70.713169,816000,5154.415863
-70.08397,818000,5166.209113
-112.030298,820000,5177.832041
-88.998972,822000,5189.419529
-77.073816,824000,5201.134665
-422.951865,826000,5212.791099
-367.581912,828000,5224.645825
-79.843121,830000,5236.305289
-59.276538,832000,5248.093244
-65.241949,834000,5259.803661
-63.125865,836000,5271.371225
-64.367311,838000,5282.919497
-65.472826,840000,5294.708974
-65.96191,842000,5306.389285
-75.116182,844000,5318.03288
-85.396387,846000,5329.606969
-105.462038,848000,5341.366175
-102.888128,850000,5353.261786
-95.392007,852000,5365.142297
-100.371797,854000,5376.767444
-101.832767,856000,5388.285721
-104.39526,858000,5399.821805
-107.611457,860000,5411.372248
-98.532606,862000,5423.232065
-103.68716,864000,5434.955369
-94.764438,866000,5446.560115
-99.666501,868000,5458.488992
-102.978235,870000,5470.299879
-104.104412,872000,5482.352875
-97.196145,874000,5494.152194
-103.471449,876000,5505.764762
-84.889919,878000,5517.349893
-107.032412,880000,5528.942408
-166.079944,882000,5540.767281
-412.868043,884000,5552.662022
-148.697048,886000,5564.396556
-371.597508,888000,5576.077995
-406.648156,890000,5587.975018
-96.785258,892000,5599.530104
-103.689251,894000,5611.917163
-108.921537,896000,5626.32134
-381.967825,898000,5637.890473
-625.9618,900000,5649.79615
-481.001315,902000,5661.694913
-511.607776,904000,5674.025115
-116.446172,906000,5688.527802
-128.399227,908000,5703.137443
-166.464332,910000,5716.911267
-281.726202,912000,5728.880256
-137.793515,914000,5741.134811
-137.210397,916000,5757.043115
-131.037747,918000,5774.062621
-130.000945,920000,5788.053895
-102.531378,922000,5803.891035
-152.050312,924000,5820.591813
-64.254894,926000,5836.072415
-117.905796,928000,5850.674999
-100.42031,930000,5867.124414
-93.45972,932000,5883.787264
-106.659415,934000,5899.115487
-131.401493,936000,5914.418059
-165.410083,938000,5929.568099
-119.890916,940000,5945.391634
-99.585527,942000,5960.654255
-58.397421,944000,5975.951304
-72.503768,946000,5991.156691
-81.199742,948000,6008.275834
-87.841994,950000,6025.287909
-84.573263,952000,6040.671059
-246.352892,954000,6055.85676
-90.447233,956000,6071.431325
